# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	22.158321	11.803574	0.007429	0.026879	3.114298	0.000000	-0.003656	0.000000	-0.000348	0.000005	0.000000	0.000000
0.797000	22.159568	11.795615	-0.010414	-0.006981	3.112839	0.000000	-0.003676	0.000000	-0.000346	0.000005	0.000000	0.000000
1.346398	21.803944	12.033256	0.653997	-0.428052	3.086131	0.000000	-0.093394	0.000000	-0.000340	0.000016	0.000000	0.000000
1.895796	20.738867	12.747114	1.273493	-0.878756	3.010498	0.000000	-0.181501	0.000000	-0.000328	0.000027	0.000000	0.000000
2.445194	19.037486	13.986610	1.805527	-1.390297	2.887247	0.000000	-0.266478	0.000000	-0.000311	0.000037	0.000000	0.000000
2.994593	16.816648	15.837554	2.213559	-1.998088	2.718501	0.000000	-0.346859	0.000000	-0.000288	0.000046	0.000000	0.000000
3.435711	15.105196	17.472593	1.680814	-1.694933	2.581687	0.000000	-0.273970	0.000000	-0.000269	0.000039	0.000000	0.000000
3.876830	13.828957	18.806054	1.223099	-1.316772	2.476316	0.000000	-0.204154	0.000000	-0.000254	0.000032	0.000000	0.000000
4.317948	12.931105	19.778784	0.819845	-0.880200	2.401216	0.000000	-0.136604	0.000000	-0.000241	0.000026	0.000000	0.000000
4.759067	12.371661	20.347634	0.453096	-0.404582	2.355554	0.000000	-0.070570	0.000000	-0.000230	0.000020	0.000000	0.000000
5.200185	12.125716	20.487368	0.106572	0.088894	2.338824	0.000000	-0.005329	0.000000	-0.000223	0.000015	0.000000	0.000000
5.628756	12.049688	20.420210	0.070826	0.067810	2.336534	0.000000	-0.005329	0.000000	-0.000216	0.000015	0.000000	0.000000
6.057328	12.004299	20.371123	0.035081	0.046726	2.334244	0.000000	-0.005329	0.000000	-0.000210	0.000015	0.000000	0.000000
6.485899	11.989549	20.340108	-0.000664	0.025642	2.331953	0.000000	-0.005329	0.000000	-0.000204	0.000015	0.000000	0.000000
6.914471	12.005438	20.327166	-0.036410	0.004558	2.329663	0.000000	-0.005329	0.000000	-0.000198	0.000015	0.000000	0.000000
7.343042	12.051966	20.332295	-0.072155	-0.016527	2.327373	0.000000	-0.005329	0.000000	-0.000191	0.000015	0.000000	0.000000
7.771614	12.129133	20.355497	-0.107901	-0.037611	2.325083	0.000000	-0.005329	0.000000	-0.000185	0.000015	0.000000	0.000000
8.200185	12.236939	20.396771	-0.143606	-0.058758	2.322792	0.000000	-0.005337	0.000000	-0.000179	0.000015	0.000000	0.000000
8.641304	12.517088	20.231569	-0.493828	0.431876	2.334711	0.000000	0.059451	0.000000	-0.000173	0.000010	0.000000	0.000000
9.082422	13.114741	19.640383	-0.866042	0.903354	2.375330	0.000000	0.124899	0.000000	-0.000170	0.000006	0.000000	0.000000
9.523541	14.056513	18.649435	-1.276820	1.334761	2.445100	0.000000	0.191734	0.000000	-0.000168	0.000002	0.000000	0.000000
9.964659	15.384339	17.302684	-1.744454	1.706959	2.544795	0.000000	0.260697	0.000000	-0.000168	-0.000003	0.000000	0.000000
10.405778	17.157347	15.659869	-2.289882	2.003543	2.675522	0.000000	0.332572	0.000000	-0.000170	-0.000007	0.000000	0.000000
10.955176	19.459159	13.801302	-1.875715	1.398791	2.836792	0.000000	0.253657	0.000000	-0.000172	-0.000001	0.000000	0.000000
11.504574	21.232064	12.550541	-1.332715	0.890880	2.953437	0.000000	0.170369	0.000000	-0.000172	0.000004	0.000000	0.000000
12.053972	22.354290	11.820995	-0.698178	0.444644	3.023447	0.000000	0.084141	0.000000	-0.000168	0.000009	0.000000	0.000000
