# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	20.927531	12.506667	-0.004067	0.058044	3.085247	0.000000	-0.015243	0.000000	-0.002978	0.000070	0.000000	0.000000
0.797000	20.938366	12.473143	-0.021954	0.025398	3.079145	0.000000	-0.015413	0.000000	-0.002950	0.000070	0.000000	0.000000
1.346398	20.617370	12.684965	0.602958	-0.413179	3.046265	0.000000	-0.103896	0.000000	-0.002886	0.000162	0.000000	0.000000
1.895796	19.628661	13.391545	1.186510	-0.880348	2.965149	0.000000	-0.190588	0.000000	-0.002772	0.000251	0.000000	0.000000
2.445194	18.040060	14.641778	1.688664	-1.408433	2.837195	0.000000	-0.273997	0.000000	-0.002611	0.000336	0.000000	0.000000
2.994593	15.960550	16.522180	2.074958	-2.033978	2.664608	0.000000	-0.352682	0.000000	-0.002405	0.000415	0.000000	0.000000
3.435711	14.360246	18.179032	1.568059	-1.709796	2.524867	0.000000	-0.281008	0.000000	-0.002235	0.000356	0.000000	0.000000
3.876830	13.173493	19.516640	1.132420	-1.311364	2.415939	0.000000	-0.212703	0.000000	-0.002090	0.000302	0.000000	0.000000
4.317948	12.347496	20.475695	0.747157	-0.854778	2.336614	0.000000	-0.146759	0.000000	-0.001968	0.000251	0.000000	0.000000
4.759067	11.845516	21.013661	0.395129	-0.360281	2.286013	0.000000	-0.082444	0.000000	-0.001868	0.000203	0.000000	0.000000
5.200185	11.645225	21.106672	0.061060	0.149458	2.263573	0.000000	-0.019119	0.000000	-0.001788	0.000157	0.000000	0.000000
5.628756	11.608719	20.987461	0.024120	0.128700	2.255312	0.000000	-0.019119	0.000000	-0.001721	0.000157	0.000000	0.000000
6.057328	11.603876	20.886043	-0.012819	0.107941	2.247051	0.000000	-0.019119	0.000000	-0.001654	0.000157	0.000000	0.000000
6.485899	11.630695	20.802419	-0.049759	0.087183	2.238790	0.000000	-0.019119	0.000000	-0.001587	0.000157	0.000000	0.000000
6.914471	11.689176	20.736588	-0.086698	0.066424	2.230529	0.000000	-0.019119	0.000000	-0.001519	0.000157	0.000000	0.000000
7.343042	11.779320	20.688549	-0.123638	0.045665	2.222268	0.000000	-0.019119	0.000000	-0.001452	0.000157	0.000000	0.000000
7.771614	11.901127	20.658304	-0.160577	0.024907	2.214007	0.000000	-0.019119	0.000000	-0.001385	0.000157	0.000000	0.000000
8.200185	12.054595	20.645853	-0.197223	0.003691	2.205746	0.000000	-0.019173	0.000000	-0.001317	0.000157	0.000000	0.000000
8.641304	12.380872	20.423143	-0.545135	0.499325	2.210842	0.000000	0.042568	0.000000	-0.001255	0.000125	0.000000	0.000000
9.082422	13.023617	19.771344	-0.917319	0.972827	2.243264	0.000000	0.104781	0.000000	-0.001207	0.000094	0.000000	0.000000
9.523541	14.011446	18.719353	-1.330340	1.403197	2.303372	0.000000	0.168157	0.000000	-0.001172	0.000064	0.000000	0.000000
9.964659	15.388332	17.313813	-1.802583	1.771349	2.391835	0.000000	0.233398	0.000000	-0.001151	0.000035	0.000000	0.000000
10.405778	17.215570	15.617047	-2.355841	2.061657	2.509632	0.000000	0.301343	0.000000	-0.001142	0.000006	0.000000	0.000000
10.955176	19.593068	13.697963	-1.946777	1.451503	2.655214	0.000000	0.227922	0.000000	-0.001129	0.000042	0.000000	0.000000
11.504574	21.444642	12.390604	-1.404036	0.941806	2.759302	0.000000	0.150571	0.000000	-0.001096	0.000077	0.000000	0.000000
12.053972	22.643151	11.604489	-0.764879	0.497288	2.820101	0.000000	0.070625	0.000000	-0.001045	0.000110	0.000000	0.000000
12.603370	23.106288	11.285217	-0.073187	0.087182	2.836563	0.000000	-0.010539	0.000000	-0.000975	0.000142	0.000000	0.000000
13.073037	23.184237	11.223233	-0.093201	0.045022	2.831523	0.000000	-0.010590	0.000000	-0.000908	0.000142	0.000000	0.000000
13.542703	23.281381	11.200636	-0.113635	0.003089	2.826482	0.000000	-0.010590	0.000000	-0.000842	0.000142	0.000000	0.000000
14.012370	23.397719	11.217429	-0.134069	-0.038843	2.821441	0.000000	-0.010590	0.000000	-0.000775	0.000142	0.000000	0.000000
14.203370	23.462361	11.229852	-0.187284	-0.034373	2.820104	0.000000	-0.005190	0.000000	-0.000748	0.000141	0.000000	0.000000
14.752768	23.276274	11.489450	0.524153	-0.440858	2.795019	0.000000	-0.085708	0.000000	-0.000664	0.000163	0.000000	0.000000
15.302166	22.323830	12.209815	1.199617	-0.877868	2.726030	0.000000	-0.164748	0.000000	-0.000569	0.000182	0.000000	0.000000
15.851564	20.670409	13.440826	1.792719	-1.375659	2.614326	0.000000	-0.240946	0.000000	-0.000465	0.000199	0.000000	0.000000
16.400963	18.429538	15.267713	2.262724	-1.968694	2.461835	0.000000	-0.312989	0.000000	-0.000352	0.000211	0.000000	0.000000
16.842081	16.688770	16.884104	1.698501	-1.682239	2.338495	0.000000	-0.246376	0.000000	-0.000260	0.000204	0.000000	0.000000
17.283200	15.410480	18.213978	1.210150	-1.321363	2.243898	0.000000	-0.182532	0.000000	-0.000172	0.000198	0.000000	0.000000
17.724318	14.537762	19.198334	0.775673	-0.901860	2.176993	0.000000	-0.120714	0.000000	-0.000085	0.000195	0.000000	0.000000
18.165437	14.031764	19.793492	0.375726	-0.442336	2.137036	0.000000	-0.060238	0.000000	0.000001	0.000194	0.000000	0.000000
18.606555	13.869965	19.973038	-0.007523	0.036800	2.123584	0.000000	-0.000427	0.000000	0.000087	0.000195	0.000000	0.000000
19.008055	13.887629	19.951570	-0.036472	0.016671	2.123334	0.000000	-0.000427	0.000000	0.000165	0.000195	0.000000	0.000000
19.409555	13.928539	19.946266	-0.065421	-0.003459	2.123084	0.000000	-0.000427	0.000000	0.000243	0.000195	0.000000	0.000000
19.709055	13.974194	19.952835	-0.087016	-0.018474	2.122898	0.000000	-0.000427	0.000000	0.000302	0.000195	0.000000	0.000000
20.206555	14.065455	20.002340	-0.075249	-0.111056	2.121595	0.000000	-0.007614	0.000000	0.000399	0.000194	0.000000	0.000000
20.647674	14.302950	19.887539	-0.465052	0.370342	2.131313	0.000000	0.052104	0.000000	0.000486	0.000205	0.000000	0.000000
21.088792	14.892192	19.353715	-0.875582	0.835322	2.167472	0.000000	0.112399	0.000000	0.000580	0.000218	0.000000	0.000000
21.529911	15.859438	18.424539	-1.325125	1.263255	2.230473	0.000000	0.173942	0.000000	0.000680	0.000234	0.000000	0.000000
21.971029	17.247786	17.141224	-1.833708	1.635150	2.321015	0.000000	0.237416	0.000000	0.000787	0.000253	0.000000	0.000000
22.412148	19.119097	15.560700	-2.423312	1.933951	2.440103	0.000000	0.303440	0.000000	0.000903	0.000274	0.000000	0.000000
22.961546	21.530818	13.773091	-1.940950	1.338436	2.587300	0.000000	0.232129	0.000000	0.001045	0.000243	0.000000	0.000000
23.510944	23.335733	12.585477	-1.325193	0.835600	2.694178	0.000000	0.156815	0.000000	0.001169	0.000208	0.000000	0.000000
24.060342	24.409786	11.915625	-0.618348	0.390624	2.758894	0.000000	0.078796	0.000000	0.001273	0.000170	0.000000	0.000000
24.609740	24.679144	11.717154	0.131010	-0.027307	2.780331	0.000000	-0.000582	0.000000	0.001355	0.000128	0.000000	0.000000
25.009740	24.581424	11.752448	0.113907	-0.061198	2.780075	0.000000	-0.000512	0.000000	0.001407	0.000128	0.000000	0.000000
25.409740	24.496892	11.815071	0.097423	-0.095361	2.779819	0.000000	-0.000512	0.000000	0.001458	0.000128	0.000000	0.000000
25.809740	24.425547	11.905025	0.080940	-0.129523	2.779563	0.000000	-0.000512	0.000000	0.001510	0.000128	0.000000	0.000000
