# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	20.945752	12.457285	-0.005174	0.056372	3.081763	0.000000	-0.015572	0.000000	-0.002500	0.000059	0.000000	0.000000
0.797000	20.957460	12.425143	-0.023230	0.023716	3.075535	0.000000	-0.015714	0.000000	-0.002477	0.000059	0.000000	0.000000
1.346398	20.637450	12.638128	0.602433	-0.413624	3.042526	0.000000	-0.104095	0.000000	-0.002423	0.000136	0.000000	0.000000
1.895796	19.648872	13.344541	1.186765	-0.879588	2.961346	0.000000	-0.190683	0.000000	-0.002328	0.000211	0.000000	0.000000
2.445194	18.059554	14.593267	1.689663	-1.406422	2.833394	0.000000	-0.273983	0.000000	-0.002192	0.000282	0.000000	0.000000
2.994593	15.978548	16.470726	2.076612	-2.030584	2.660875	0.000000	-0.352562	0.000000	-0.002019	0.000348	0.000000	0.000000
3.435711	14.376787	18.125422	1.569441	-1.708045	2.521177	0.000000	-0.281013	0.000000	-0.001877	0.000299	0.000000	0.000000
3.876830	13.188997	19.462134	1.133364	-1.311074	2.412249	0.000000	-0.212794	0.000000	-0.001755	0.000253	0.000000	0.000000
4.317948	12.362332	20.421587	0.747712	-0.855958	2.332884	0.000000	-0.146936	0.000000	-0.001653	0.000211	0.000000	0.000000
4.759067	11.860013	20.961227	0.395326	-0.362877	2.282201	0.000000	-0.082709	0.000000	-0.001569	0.000170	0.000000	0.000000
5.200185	11.659696	21.057114	0.060851	0.145680	2.259636	0.000000	-0.019463	0.000000	-0.001502	0.000132	0.000000	0.000000
5.628756	11.623348	20.941153	0.023959	0.124896	2.251238	0.000000	-0.019463	0.000000	-0.001446	0.000132	0.000000	0.000000
6.057328	11.618624	20.843007	-0.012934	0.104111	2.242841	0.000000	-0.019463	0.000000	-0.001389	0.000132	0.000000	0.000000
6.485899	11.645521	20.762677	-0.049827	0.083326	2.234443	0.000000	-0.019463	0.000000	-0.001333	0.000132	0.000000	0.000000
6.914471	11.704041	20.700163	-0.086720	0.062541	2.226045	0.000000	-0.019463	0.000000	-0.001276	0.000132	0.000000	0.000000
7.343042	11.794184	20.655464	-0.123613	0.041757	2.217647	0.000000	-0.019463	0.000000	-0.001220	0.000132	0.000000	0.000000
7.771614	11.915949	20.628580	-0.160505	0.020972	2.209249	0.000000	-0.019463	0.000000	-0.001164	0.000132	0.000000	0.000000
8.200185	12.069335	20.619513	-0.197150	-0.000197	2.200851	0.000000	-0.019509	0.000000	-0.001107	0.000132	0.000000	0.000000
8.641304	12.395698	20.400495	-0.545409	0.494871	2.205781	0.000000	0.042111	0.000000	-0.001055	0.000105	0.000000	0.000000
9.082422	13.038840	19.752803	-0.917951	0.968002	2.237981	0.000000	0.104198	0.000000	-0.001015	0.000079	0.000000	0.000000
9.523541	14.027396	18.705152	-1.331362	1.398212	2.297809	0.000000	0.167441	0.000000	-0.000986	0.000053	0.000000	0.000000
9.964659	15.405375	17.303998	-1.804043	1.766419	2.385929	0.000000	0.232542	0.000000	-0.000968	0.000029	0.000000	0.000000
10.405778	17.234122	15.611474	-2.357686	2.056883	2.503318	0.000000	0.300319	0.000000	-0.000960	0.000005	0.000000	0.000000
10.955176	19.613321	13.697262	-1.948001	1.447351	2.648395	0.000000	0.227100	0.000000	-0.000949	0.000035	0.000000	0.000000
11.504574	21.465856	12.394251	-1.404547	0.937994	2.752096	0.000000	0.149966	0.000000	-0.000922	0.000064	0.000000	0.000000
12.053972	22.664512	11.612256	-0.764638	0.493556	2.812632	0.000000	0.070246	0.000000	-0.000879	0.000093	0.000000	0.000000
12.603370	23.126969	11.297157	-0.072210	0.083275	2.828961	0.000000	-0.010685	0.000000	-0.000821	0.000119	0.000000	0.000000
13.073037	23.204054	11.238775	-0.092270	0.041222	2.823866	0.000000	-0.010728	0.000000	-0.000765	0.000119	0.000000	0.000000
13.542703	23.300313	11.219714	-0.112683	-0.000639	2.818771	0.000000	-0.010728	0.000000	-0.000709	0.000119	0.000000	0.000000
14.012370	23.415748	11.239974	-0.133096	-0.042499	2.813676	0.000000	-0.010728	0.000000	-0.000653	0.000119	0.000000	0.000000
14.203370	23.480025	11.253777	-0.186388	-0.037934	2.812315	0.000000	-0.005337	0.000000	-0.000630	0.000118	0.000000	0.000000
14.752768	23.292624	11.517703	0.525618	-0.445218	2.787229	0.000000	-0.085613	0.000000	-0.000560	0.000137	0.000000	0.000000
15.302166	22.338293	12.243435	1.201545	-0.883331	2.718373	0.000000	-0.164412	0.000000	-0.000480	0.000153	0.000000	0.000000
15.851564	20.682550	13.481223	1.794972	-1.382602	2.606934	0.000000	-0.240376	0.000000	-0.000392	0.000167	0.000000	0.000000
16.400963	18.439086	15.316768	2.265141	-1.977597	2.454836	0.000000	-0.312194	0.000000	-0.000297	0.000178	0.000000	0.000000
16.842081	16.696321	16.940685	1.700572	-1.690300	2.331821	0.000000	-0.245756	0.000000	-0.000221	0.000171	0.000000	0.000000
17.283200	15.416332	18.277154	1.211930	-1.328194	2.237474	0.000000	-0.182076	0.000000	-0.000146	0.000167	0.000000	0.000000
17.724318	14.542134	19.266881	0.777245	-0.907160	2.170748	0.000000	-0.120418	0.000000	-0.000073	0.000164	0.000000	0.000000
18.165437	14.034809	19.865951	0.377162	-0.445872	2.130901	0.000000	-0.060097	0.000000	-0.000001	0.000163	0.000000	0.000000
18.606555	13.871773	20.047779	-0.006153	0.035186	2.117491	0.000000	-0.000440	0.000000	0.000071	0.000164	0.000000	0.000000
19.008055	13.888336	20.027575	-0.035098	0.015134	2.117248	0.000000	-0.000440	0.000000	0.000136	0.000164	0.000000	0.000000
19.409555	13.928141	20.023473	-0.064043	-0.004918	2.117006	0.000000	-0.000440	0.000000	0.000202	0.000164	0.000000	0.000000
19.709055	13.972970	20.030899	-0.085634	-0.019875	2.116825	0.000000	-0.000440	0.000000	0.000251	0.000164	0.000000	0.000000
20.206555	14.062857	20.081825	-0.073854	-0.112664	2.115533	0.000000	-0.007609	0.000000	0.000333	0.000163	0.000000	0.000000
20.647674	14.299072	19.967520	-0.463551	0.370829	2.125234	0.000000	0.051955	0.000000	0.000406	0.000172	0.000000	0.000000
21.088792	14.886910	19.432348	-0.873904	0.837881	2.161307	0.000000	0.112095	0.000000	0.000485	0.000183	0.000000	0.000000
21.529911	15.852561	18.500041	-1.323192	1.267770	2.224154	0.000000	0.173479	0.000000	0.000568	0.000196	0.000000	0.000000
21.971029	17.239048	17.211954	-1.831430	1.641421	2.314472	0.000000	0.236789	0.000000	0.000658	0.000212	0.000000	0.000000
22.412148	19.108143	15.625225	-2.420692	1.941789	2.433265	0.000000	0.302656	0.000000	0.000756	0.000230	0.000000	0.000000
22.961546	21.517066	13.830224	-1.938544	1.344139	2.580113	0.000000	0.231570	0.000000	0.000875	0.000204	0.000000	0.000000
23.510944	23.319520	12.637333	-1.323179	0.839561	2.686767	0.000000	0.156491	0.000000	0.000979	0.000175	0.000000	0.000000
24.060342	24.391631	11.963956	-0.616875	0.393117	2.751387	0.000000	0.078712	0.000000	0.001066	0.000143	0.000000	0.000000
24.609740	24.659708	11.763470	0.131835	-0.026110	2.772857	0.000000	-0.000425	0.000000	0.001135	0.000108	0.000000	0.000000
25.009740	24.561255	11.797786	0.114816	-0.059907	2.772668	0.000000	-0.000366	0.000000	0.001178	0.000108	0.000000	0.000000
25.409740	24.476002	11.859322	0.098315	-0.093933	2.772478	0.000000	-0.000366	0.000000	0.001221	0.000108	0.000000	0.000000
25.809740	24.403950	11.948079	0.081815	-0.127960	2.772288	0.000000	-0.000366	0.000000	0.001265	0.000108	0.000000	0.000000
26.209740	24.345099	12.064057	0.064725	-0.161675	2.772099	0.000000	-0.000299	0.000000	0.001308	0.000108	0.000000	0.000000
26.759138	23.868974	12.478474	0.796961	-0.596954	2.750125	0.000000	-0.079410	0.000000	0.001356	0.000066	0.000000	0.000000
27.308536	22.613836	13.391044	1.474440	-1.073585	2.685024	0.000000	-0.157151	0.000000	0.001380	0.000023	0.000000	0.000000
27.857934	20.665931	14.864977	2.050601	-1.624579	2.577919	0.000000	-0.232180	0.000000	0.001381	-0.000021	0.000000	0.000000
28.407333	18.159119	17.002366	2.485846	-2.288097	2.430659	0.000000	-0.303203	0.000000	0.001358	-0.000064	0.000000	0.000000
28.848451	16.228379	18.889381	1.906185	-1.972830	2.311512	0.000000	-0.237450	0.000000	0.001337	-0.000030	0.000000	0.000000
29.289570	14.770697	20.457643	1.410485	-1.569100	2.220806	0.000000	-0.174205	0.000000	0.001331	0.000004	0.000000	0.000000
29.730688	13.721124	21.637550	0.977626	-1.095730	2.157532	0.000000	-0.112894	0.000000	0.001340	0.000037	0.000000	0.000000
30.171807	13.032898	22.376737	0.588322	-0.573727	2.120989	0.000000	-0.052838	0.000000	0.001364	0.000071	0.000000	0.000000
30.612925	12.675358	22.642391	0.224894	-0.025697	2.110769	0.000000	0.006686	0.000000	0.001403	0.000106	0.000000	0.000000
31.012925	12.508703	22.670020	0.191741	-0.043375	2.113401	0.000000	0.006686	0.000000	0.001445	0.000106	0.000000	0.000000
31.412925	12.368572	22.711791	0.158588	-0.061053	2.116033	0.000000	0.006686	0.000000	0.001488	0.000106	0.000000	0.000000
31.812925	12.254963	22.767704	0.125434	-0.078730	2.118665	0.000000	0.006686	0.000000	0.001530	0.000106	0.000000	0.000000
32.212925	12.167876	22.837761	0.091924	-0.095704	2.121297	0.000000	0.006749	0.000000	0.001573	0.000106	0.000000	0.000000
32.654044	12.237924	22.676721	-0.251261	0.459414	2.137398	0.000000	0.066560	0.000000	0.001628	0.000146	0.000000	0.000000
33.095162	12.614564	22.033122	-0.605650	0.994153	2.180004	0.000000	0.127111	0.000000	0.001702	0.000188	0.000000	0.000000
33.536281	13.314588	20.935519	-0.987035	1.484778	2.249588	0.000000	0.189073	0.000000	0.001794	0.000232	0.000000	0.000000
33.977399	14.369200	19.432617	-1.412417	1.909514	2.346925	0.000000	0.253135	0.000000	0.001907	0.000279	0.000000	0.000000
34.418518	15.825415	17.591106	-1.899486	2.248093	2.473094	0.000000	0.319810	0.000000	0.002041	0.000328	0.000000	0.000000
