# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	20.951120	12.505321	-0.003408	0.057832	3.087167	0.000000	-0.014817	0.000000	-0.003074	0.000072	0.000000	0.000000
0.797000	20.961422	12.471967	-0.021235	0.025161	3.081234	0.000000	-0.014993	0.000000	-0.003045	0.000072	0.000000	0.000000
1.346398	20.639245	12.684028	0.604379	-0.413380	3.048565	0.000000	-0.103542	0.000000	-0.002979	0.000167	0.000000	0.000000
1.895796	19.648634	13.390814	1.188538	-0.880526	2.967620	0.000000	-0.190307	0.000000	-0.002862	0.000259	0.000000	0.000000
2.445194	18.057538	14.641234	1.691162	-1.408599	2.839795	0.000000	-0.273793	0.000000	-0.002696	0.000346	0.000000	0.000000
2.994593	15.975107	16.521813	2.077759	-2.034141	2.667293	0.000000	-0.352559	0.000000	-0.002483	0.000428	0.000000	0.000000
3.435711	14.372601	18.178778	1.570328	-1.709941	2.527620	0.000000	-0.280810	0.000000	-0.002308	0.000367	0.000000	0.000000
3.876830	13.184023	19.516527	1.134308	-1.311537	2.418789	0.000000	-0.212437	0.000000	-0.002158	0.000311	0.000000	0.000000
4.317948	12.356502	20.475743	0.748744	-0.854973	2.339595	0.000000	-0.146421	0.000000	-0.002032	0.000259	0.000000	0.000000
4.759067	11.853229	21.013886	0.396485	-0.360488	2.289156	0.000000	-0.082030	0.000000	-0.001929	0.000209	0.000000	0.000000
5.200185	11.651823	21.107081	0.062258	0.149224	2.266915	0.000000	-0.018627	0.000000	-0.001848	0.000162	0.000000	0.000000
5.628756	11.614283	20.988070	0.025334	0.128467	2.258863	0.000000	-0.018627	0.000000	-0.001778	0.000162	0.000000	0.000000
6.057328	11.608392	20.886851	-0.011590	0.107710	2.250811	0.000000	-0.018627	0.000000	-0.001709	0.000162	0.000000	0.000000
6.485899	11.634151	20.803424	-0.048514	0.086954	2.242759	0.000000	-0.018627	0.000000	-0.001640	0.000162	0.000000	0.000000
6.914471	11.691559	20.737788	-0.085438	0.066197	2.234707	0.000000	-0.018627	0.000000	-0.001571	0.000162	0.000000	0.000000
7.343042	11.780616	20.689943	-0.122362	0.045440	2.226654	0.000000	-0.018627	0.000000	-0.001502	0.000162	0.000000	0.000000
7.771614	11.901322	20.659890	-0.159286	0.024683	2.218602	0.000000	-0.018627	0.000000	-0.001432	0.000162	0.000000	0.000000
8.200185	12.053677	20.647630	-0.195906	0.003453	2.210550	0.000000	-0.018682	0.000000	-0.001363	0.000162	0.000000	0.000000
8.641304	12.378765	20.425111	-0.543744	0.499131	2.215887	0.000000	0.043181	0.000000	-0.001299	0.000128	0.000000	0.000000
9.082422	13.020228	19.773460	-0.915793	0.972686	2.248606	0.000000	0.105524	0.000000	-0.001250	0.000096	0.000000	0.000000
9.523541	14.006625	18.721568	-1.328610	1.403117	2.309071	0.000000	0.169037	0.000000	-0.001214	0.000065	0.000000	0.000000
9.964659	15.381867	17.316071	-1.800571	1.771334	2.397954	0.000000	0.234426	0.000000	-0.001192	0.000035	0.000000	0.000000
10.405778	17.207171	15.619289	-2.353484	2.061734	2.516239	0.000000	0.302534	0.000000	-0.001183	0.000005	0.000000	0.000000
10.955176	19.582118	13.700149	-1.944521	1.451533	2.662417	0.000000	0.228897	0.000000	-0.001170	0.000042	0.000000	0.000000
11.504574	21.431339	12.392783	-1.402036	0.941789	2.766976	0.000000	0.151313	0.000000	-0.001137	0.000078	0.000000	0.000000
12.053972	22.627856	11.606714	-0.763274	0.497222	2.828115	0.000000	0.071121	0.000000	-0.001084	0.000113	0.000000	0.000000
12.603370	23.089500	11.287544	-0.072088	0.087062	2.844778	0.000000	-0.010297	0.000000	-0.001013	0.000146	0.000000	0.000000
13.073037	23.166407	11.225676	-0.092098	0.044903	2.839848	0.000000	-0.010351	0.000000	-0.000944	0.000146	0.000000	0.000000
13.542703	23.262520	11.203187	-0.112543	0.002980	2.834918	0.000000	-0.010351	0.000000	-0.000875	0.000146	0.000000	0.000000
14.012370	23.377838	11.220078	-0.132989	-0.038943	2.829988	0.000000	-0.010351	0.000000	-0.000806	0.000146	0.000000	0.000000
14.203370	23.442058	11.232538	-0.186157	-0.034470	2.828698	0.000000	-0.004935	0.000000	-0.000779	0.000145	0.000000	0.000000
14.752768	23.255106	11.492282	0.524594	-0.441028	2.803675	0.000000	-0.085724	0.000000	-0.000693	0.000168	0.000000	0.000000
15.302166	22.302573	12.212880	1.199341	-0.878125	2.734600	0.000000	-0.165035	0.000000	-0.000595	0.000188	0.000000	0.000000
15.851564	20.649845	13.444227	1.791747	-1.376019	2.622662	0.000000	-0.241499	0.000000	-0.000486	0.000205	0.000000	0.000000
16.400963	18.410397	15.271576	2.261125	-1.969182	2.469793	0.000000	-0.313798	0.000000	-0.000370	0.000219	0.000000	0.000000
16.842081	16.670839	16.888350	1.697363	-1.682629	2.346138	0.000000	-0.246986	0.000000	-0.000275	0.000211	0.000000	0.000000
17.283200	15.393366	18.218524	1.209434	-1.321649	2.251311	0.000000	-0.182953	0.000000	-0.000183	0.000205	0.000000	0.000000
17.724318	14.521106	19.203081	0.775348	-0.902029	2.184257	0.000000	-0.120952	0.000000	-0.000094	0.000201	0.000000	0.000000
18.165437	14.015231	19.798334	0.375775	-0.442381	2.144233	0.000000	-0.060294	0.000000	-0.000005	0.000200	0.000000	0.000000
18.606555	13.853224	19.977863	-0.007096	0.036879	2.130793	0.000000	-0.000303	0.000000	0.000083	0.000201	0.000000	0.000000
19.008055	13.870560	19.956329	-0.036080	0.016755	2.130591	0.000000	-0.000303	0.000000	0.000164	0.000201	0.000000	0.000000
19.409555	13.911169	19.950955	-0.065064	-0.003370	2.130389	0.000000	-0.000303	0.000000	0.000245	0.000201	0.000000	0.000000
19.709055	13.956618	19.957469	-0.086685	-0.018382	2.130238	0.000000	-0.000303	0.000000	0.000305	0.000201	0.000000	0.000000
20.206555	14.047589	20.006884	-0.075023	-0.110969	2.128990	0.000000	-0.007514	0.000000	0.000405	0.000200	0.000000	0.000000
20.647674	14.284703	19.891953	-0.464409	0.370547	2.138791	0.000000	0.052391	0.000000	0.000496	0.000211	0.000000	0.000000
21.088792	14.873184	19.357898	-0.874493	0.835638	2.175116	0.000000	0.112876	0.000000	0.000592	0.000225	0.000000	0.000000
21.529911	15.839258	18.428399	-1.323543	1.263667	2.238367	0.000000	0.174615	0.000000	0.000694	0.000241	0.000000	0.000000
21.971029	17.225970	17.144685	-1.831563	1.635640	2.329247	0.000000	0.238292	0.000000	0.000805	0.000260	0.000000	0.000000
22.412148	19.095108	15.563702	-2.420494	1.934484	2.448765	0.000000	0.304525	0.000000	0.000924	0.000282	0.000000	0.000000
22.961546	21.504101	13.775575	-1.938826	1.338849	2.596478	0.000000	0.232934	0.000000	0.001070	0.000250	0.000000	0.000000
23.510944	23.307136	12.587560	-1.323908	0.835921	2.703713	0.000000	0.157324	0.000000	0.001198	0.000214	0.000000	0.000000
24.060342	24.380283	11.917395	-0.617989	0.390875	2.768623	0.000000	0.079001	0.000000	0.001305	0.000175	0.000000	0.000000
24.609740	24.649770	11.718679	0.130421	-0.027108	2.790086	0.000000	-0.000685	0.000000	0.001390	0.000133	0.000000	0.000000
25.009740	24.552540	11.753806	0.113285	-0.060987	2.789788	0.000000	-0.000613	0.000000	0.001443	0.000133	0.000000	0.000000
25.409740	24.468513	11.816259	0.096785	-0.095145	2.789489	0.000000	-0.000613	0.000000	0.001496	0.000133	0.000000	0.000000
25.809740	24.397685	11.906038	0.080284	-0.129303	2.789191	0.000000	-0.000613	0.000000	0.001549	0.000133	0.000000	0.000000
26.209740	24.340060	12.023143	0.063061	-0.163082	2.788893	0.000000	-0.000531	0.000000	0.001602	0.000133	0.000000	0.000000
26.759138	23.865796	12.438536	0.795267	-0.597330	2.766634	0.000000	-0.080174	0.000000	0.001661	0.000081	0.000000	0.000000
27.308536	22.612481	13.350973	1.472829	-1.072960	2.700964	0.000000	-0.158434	0.000000	0.001691	0.000028	0.000000	0.000000
27.857934	20.666245	14.823664	2.049175	-1.622918	2.593016	0.000000	-0.233959	0.000000	0.001692	-0.000025	0.000000	0.000000
28.407333	18.160847	16.958623	2.484686	-2.285296	2.444652	0.000000	-0.305448	0.000000	0.001664	-0.000078	0.000000	0.000000
28.848451	16.230913	18.843885	1.905269	-1.971446	2.324583	0.000000	-0.239379	0.000000	0.001639	-0.000036	0.000000	0.000000
29.289570	14.774035	20.411489	1.409560	-1.568983	2.233099	0.000000	-0.175809	0.000000	0.001632	0.000005	0.000000	0.000000
29.730688	13.725290	21.591858	0.976658	-1.096878	2.169183	0.000000	-0.114192	0.000000	0.001644	0.000046	0.000000	0.000000
30.171807	13.037950	22.332600	0.587272	-0.576083	2.132126	0.000000	-0.053844	0.000000	0.001673	0.000088	0.000000	0.000000
30.612925	12.681389	22.600828	0.223643	-0.029028	2.121516	0.000000	0.005974	0.000000	0.001721	0.000130	0.000000	0.000000
31.012925	12.515723	22.631136	0.190523	-0.046741	2.123853	0.000000	0.005974	0.000000	0.001773	0.000130	0.000000	0.000000
31.412925	12.376552	22.675614	0.157403	-0.064454	2.126191	0.000000	0.005974	0.000000	0.001825	0.000130	0.000000	0.000000
31.812925	12.263877	22.734263	0.124283	-0.082168	2.128528	0.000000	0.005974	0.000000	0.001878	0.000130	0.000000	0.000000
32.212925	12.177697	22.807085	0.090725	-0.099018	2.130865	0.000000	0.006051	0.000000	0.001930	0.000130	0.000000	0.000000
32.654044	12.248926	22.649273	-0.252737	0.455435	2.146700	0.000000	0.066106	0.000000	0.001998	0.000180	0.000000	0.000000
33.095162	12.627023	22.009412	-0.607471	0.989684	2.189142	0.000000	0.126896	0.000000	0.002089	0.000231	0.000000	0.000000
33.536281	13.328849	20.915889	-0.989290	1.480017	2.258664	0.000000	0.189094	0.000000	0.002202	0.000285	0.000000	0.000000
33.977399	14.385698	19.417232	-1.415215	1.904666	2.356038	0.000000	0.253393	0.000000	0.002341	0.000342	0.000000	0.000000
34.418518	15.844695	17.579947	-1.902674	2.243045	2.482345	0.000000	0.320262	0.000000	0.002505	0.000403	0.000000	0.000000
34.967916	17.726694	15.495514	-1.502852	1.572627	2.638331	0.000000	0.247442	0.000000	0.002704	0.000321	0.000000	0.000000
35.517314	19.109683	14.084037	-0.999679	1.011156	2.753121	0.000000	0.170352	0.000000	0.002857	0.000233	0.000000	0.000000
36.066712	19.898548	13.247735	-0.427752	0.519736	2.824735	0.000000	0.090322	0.000000	0.002960	0.000142	0.000000	0.000000
36.616110	20.039025	12.928672	0.173600	0.064323	2.851935	0.000000	0.008734	0.000000	0.003012	0.000048	0.000000	0.000000
37.082610	19.889273	12.884904	0.148514	0.028798	2.856061	0.000000	0.008892	0.000000	0.003034	0.000048	0.000000	0.000000
37.549110	19.761892	12.874939	0.124542	-0.007437	2.860187	0.000000	0.008892	0.000000	0.003056	0.000048	0.000000	0.000000
38.015610	19.656878	12.898782	0.100570	-0.043672	2.864313	0.000000	0.008892	0.000000	0.003079	0.000048	0.000000	0.000000
38.482110	19.574230	12.956432	0.076597	-0.079908	2.868439	0.000000	0.008892	0.000000	0.003101	0.000048	0.000000	0.000000
38.948610	19.513947	13.047889	0.052625	-0.116143	2.872565	0.000000	0.008892	0.000000	0.003123	0.000048	0.000000	0.000000
39.415110	19.476029	13.173155	0.028653	-0.152378	2.876691	0.000000	0.008892	0.000000	0.003146	0.000048	0.000000	0.000000
39.616110	19.477183	13.230361	-0.020357	-0.141695	2.879250	0.000000	0.014608	0.000000	0.003156	0.000054	0.000000	0.000000
40.165508	19.179910	13.640489	0.558307	-0.609063	2.864548	0.000000	-0.068043	0.000000	0.003158	-0.000045	0.000000	0.000000
40.714906	18.264276	14.584306	1.098578	-1.118638	2.804746	0.000000	-0.149519	0.000000	0.003106	-0.000144	0.000000	0.000000
41.264304	16.793252	16.127213	1.563300	-1.705725	2.700876	0.000000	-0.228415	0.000000	0.003000	-0.000240	0.000000	0.000000
41.813703	14.868006	18.376113	1.920515	-2.410998	2.554731	0.000000	-0.303368	0.000000	0.002843	-0.000332	0.000000	0.000000
42.254821	13.386854	20.357296	1.447702	-2.061348	2.436242	0.000000	-0.234615	0.000000	0.002712	-0.000263	0.000000	0.000000
42.695940	12.294431	21.986493	1.037772	-1.618133	2.347578	0.000000	-0.168182	0.000000	0.002611	-0.000196	0.000000	0.000000
43.137058	11.542022	23.191390	0.674110	-1.103087	2.287754	0.000000	-0.103617	0.000000	0.002539	-0.000131	0.000000	0.000000
43.578177	11.096079	23.918503	0.340501	-0.539074	2.256104	0.000000	-0.040203	0.000000	0.002495	-0.000068	0.000000	0.000000
44.019295	10.936722	24.135552	0.021566	0.049986	2.252276	0.000000	0.022868	0.000000	0.002479	-0.000005	0.000000	0.000000
44.489962	10.936686	24.097700	-0.021490	0.030436	2.263042	0.000000	0.022868	0.000000	0.002476	-0.000005	0.000000	0.000000
44.960628	10.977180	24.078250	-0.064545	0.010887	2.273808	0.000000	0.022868	0.000000	0.002474	-0.000005	0.000000	0.000000
45.431295	11.058204	24.077202	-0.107601	-0.008663	2.284573	0.000000	0.022868	0.000000	0.002471	-0.000005	0.000000	0.000000
45.619295	11.092266	24.102857	-0.087663	-0.097120	2.287881	0.000000	0.015217	0.000000	0.002469	-0.000014	0.000000	0.000000
46.060414	11.311528	23.928492	-0.411214	0.490917	2.308700	0.000000	0.079293	0.000000	0.002477	0.000049	0.000000	0.000000
46.501532	11.823262	23.243036	-0.753096	1.057162	2.357926	0.000000	0.144249	0.000000	0.002512	0.000111	0.000000	0.000000
46.942651	12.650281	22.076917	-1.128550	1.576479	2.436107	0.000000	0.210808	0.000000	0.002575	0.000175	0.000000	0.000000
47.383769	13.829457	20.481899	-1.554318	2.025813	2.544110	0.000000	0.279709	0.000000	0.002667	0.000241	0.000000	0.000000
47.824888	15.413372	18.528777	-2.047691	2.383183	2.683138	0.000000	0.351424	0.000000	0.002788	0.000309	0.000000	0.000000
48.374286	17.473862	16.310322	-1.680874	1.677812	2.854512	0.000000	0.272029	0.000000	0.002934	0.000219	0.000000	0.000000
48.923684	19.065053	14.799026	-1.198470	1.088691	2.980961	0.000000	0.187938	0.000000	0.003029	0.000125	0.000000	0.000000
49.473082	20.077519	13.890174	-0.633652	0.575006	3.060299	0.000000	0.100603	0.000000	0.003071	0.000029	0.000000	0.000000
50.022480	20.441633	13.520791	-0.025263	0.101168	3.091157	0.000000	0.011531	0.000000	0.003061	-0.000067	0.000000	0.000000
