# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	21.650222	12.245809	0.008798	0.044300	3.120801	0.000000	-0.005580	0.000000	-0.003587	0.000068	0.000000	0.000000
0.797000	21.650553	12.223491	-0.008166	0.010891	3.118551	0.000000	-0.005788	0.000000	-0.003560	0.000068	0.000000	0.000000
1.346398	21.301962	12.447563	0.639124	-0.421100	3.090604	0.000000	-0.095570	0.000000	-0.003492	0.000179	0.000000	0.000000
1.895796	20.262307	13.159491	1.242585	-0.882226	3.013658	0.000000	-0.183705	0.000000	-0.003363	0.000287	0.000000	0.000000
2.445194	18.602884	14.408532	1.760820	-1.404390	2.889039	0.000000	-0.268675	0.000000	-0.003177	0.000390	0.000000	0.000000
2.994593	16.437509	16.281109	2.158272	-2.023720	2.718893	0.000000	-0.349015	0.000000	-0.002936	0.000486	0.000000	0.000000
3.435711	14.771091	17.931776	1.635622	-1.706424	2.581072	0.000000	-0.275904	0.000000	-0.002737	0.000415	0.000000	0.000000
3.876830	13.530407	19.269649	1.187611	-1.315355	2.474687	0.000000	-0.206167	0.000000	-0.002569	0.000348	0.000000	0.000000
4.317948	12.660277	20.235416	0.792418	-0.865963	2.398557	0.000000	-0.138718	0.000000	-0.002429	0.000286	0.000000	0.000000
4.759067	12.122004	20.786249	0.432467	-0.378166	2.351839	0.000000	-0.072808	0.000000	-0.002317	0.000226	0.000000	0.000000
5.200185	11.891653	20.897710	0.092237	0.125498	2.334014	0.000000	-0.007803	0.000000	-0.002230	0.000169	0.000000	0.000000
5.628756	11.828170	20.799068	0.055891	0.104667	2.330598	0.000000	-0.007803	0.000000	-0.002157	0.000169	0.000000	0.000000
6.057328	11.795841	20.718281	0.019544	0.083836	2.327181	0.000000	-0.007803	0.000000	-0.002085	0.000169	0.000000	0.000000
6.485899	11.794666	20.655349	-0.016802	0.063005	2.323765	0.000000	-0.007803	0.000000	-0.002013	0.000169	0.000000	0.000000
6.914471	11.824644	20.610272	-0.053148	0.042174	2.320348	0.000000	-0.007803	0.000000	-0.001940	0.000169	0.000000	0.000000
7.343042	11.885777	20.583051	-0.089495	0.021343	2.316932	0.000000	-0.007803	0.000000	-0.001868	0.000169	0.000000	0.000000
7.771614	11.978064	20.573684	-0.125841	0.000512	2.313516	0.000000	-0.007803	0.000000	-0.001795	0.000169	0.000000	0.000000
8.200185	12.101503	20.582175	-0.161801	-0.020926	2.310099	0.000000	-0.007876	0.000000	-0.001723	0.000169	0.000000	0.000000
8.641304	12.396531	20.381791	-0.509454	0.473517	2.320761	0.000000	0.056547	0.000000	-0.001658	0.000127	0.000000	0.000000
9.082422	13.007096	19.752869	-0.879786	0.946975	2.359969	0.000000	0.121597	0.000000	-0.001611	0.000085	0.000000	0.000000
9.523541	13.960377	18.723285	-1.289280	1.378454	2.428160	0.000000	0.187996	0.000000	-0.001582	0.000045	0.000000	0.000000
9.964659	15.298803	17.338684	-1.756157	1.748818	2.526090	0.000000	0.256481	0.000000	-0.001571	0.000006	0.000000	0.000000
10.405778	17.081946	15.660454	-2.302256	2.042617	2.654846	0.000000	0.327977	0.000000	-0.001577	-0.000034	0.000000	0.000000
10.955176	19.400064	13.761464	-1.892947	1.433778	2.813786	0.000000	0.249788	0.000000	-0.001582	0.000016	0.000000	0.000000
11.504574	21.194046	12.473436	-1.353678	0.924157	2.928497	0.000000	0.167293	0.000000	-0.001560	0.000065	0.000000	0.000000
12.053972	22.340729	11.707238	-0.721465	0.478484	2.997004	0.000000	0.081913	0.000000	-0.001510	0.000114	0.000000	0.000000
12.603370	22.761376	11.409856	-0.039706	0.065917	3.018123	0.000000	-0.004878	0.000000	-0.001435	0.000160	0.000000	0.000000
13.073037	22.807807	11.367666	-0.059763	0.024246	3.015719	0.000000	-0.004958	0.000000	-0.001360	0.000160	0.000000	0.000000
13.542703	22.873650	11.364307	-0.080429	-0.017094	3.013315	0.000000	-0.004958	0.000000	-0.001285	0.000160	0.000000	0.000000
14.012370	22.958906	11.399781	-0.101095	-0.058435	3.010911	0.000000	-0.004958	0.000000	-0.001210	0.000160	0.000000	0.000000
14.203370	23.010744	11.419547	-0.153355	-0.053450	3.010694	0.000000	0.000781	0.000000	-0.001179	0.000158	0.000000	0.000000
14.752768	22.795727	11.703198	0.542595	-0.465816	2.987228	0.000000	-0.085749	0.000000	-0.001083	0.000193	0.000000	0.000000
15.302166	21.832172	12.454981	1.201314	-0.910433	2.916544	0.000000	-0.170800	0.000000	-0.000968	0.000226	0.000000	0.000000
15.851564	20.186211	13.726947	1.777570	-1.418081	2.799860	0.000000	-0.252907	0.000000	-0.000836	0.000254	0.000000	0.000000
16.400963	17.970834	15.607157	2.231790	-2.023902	2.639189	0.000000	-0.330652	0.000000	-0.000689	0.000278	0.000000	0.000000
16.842081	16.252791	17.269336	1.678003	-1.730677	2.509017	0.000000	-0.259638	0.000000	-0.000570	0.000262	0.000000	0.000000
17.283200	14.988252	18.638245	1.199395	-1.361100	2.409481	0.000000	-0.191579	0.000000	-0.000458	0.000249	0.000000	0.000000
17.724318	14.120930	19.653151	0.774174	-0.931134	2.339476	0.000000	-0.125647	0.000000	-0.000350	0.000239	0.000000	0.000000
18.165437	13.612221	20.269024	0.383410	-0.459851	2.298223	0.000000	-0.061110	0.000000	-0.000246	0.000232	0.000000	0.000000
18.606555	13.439488	20.458528	0.009742	0.031726	2.285265	0.000000	0.002742	0.000000	-0.000145	0.000227	0.000000	0.000000
19.008055	13.443660	20.440939	-0.020135	0.012081	2.286275	0.000000	0.002742	0.000000	-0.000054	0.000227	0.000000	0.000000
19.409555	13.471824	20.439125	-0.050013	-0.007563	2.287285	0.000000	0.002742	0.000000	0.000037	0.000227	0.000000	0.000000
19.709055	13.508457	20.448045	-0.072300	-0.022218	2.288038	0.000000	0.002742	0.000000	0.000105	0.000227	0.000000	0.000000
20.206555	13.586096	20.501443	-0.063261	-0.115947	2.288218	0.000000	-0.005015	0.000000	0.000217	0.000226	0.000000	0.000000
20.647674	13.808062	20.385173	-0.441699	0.378549	2.299996	0.000000	0.058911	0.000000	0.000319	0.000233	0.000000	0.000000
21.088792	14.371326	19.838443	-0.839822	0.856268	2.340089	0.000000	0.123492	0.000000	0.000423	0.000242	0.000000	0.000000
21.529911	15.300987	18.885491	-1.275365	1.296012	2.408940	0.000000	0.189442	0.000000	0.000533	0.000254	0.000000	0.000000
21.971029	16.638468	17.568583	-1.767729	1.678271	2.507315	0.000000	0.257496	0.000000	0.000648	0.000269	0.000000	0.000000
22.412148	18.443360	15.946134	-2.338293	1.985597	2.636305	0.000000	0.328329	0.000000	0.000770	0.000287	0.000000	0.000000
22.961546	20.771717	14.109409	-1.875114	1.376708	2.795437	0.000000	0.250656	0.000000	0.000921	0.000260	0.000000	0.000000
23.510944	22.516974	12.885843	-1.283068	0.863143	2.910660	0.000000	0.168658	0.000000	0.001055	0.000229	0.000000	0.000000
24.060342	23.559179	12.190720	-0.602831	0.409343	2.979986	0.000000	0.083752	0.000000	0.001172	0.000194	0.000000	0.000000
24.609740	23.826687	11.975912	0.118855	-0.016119	3.002219	0.000000	-0.002600	0.000000	0.001268	0.000156	0.000000	0.000000
25.009740	23.738859	12.001968	0.101272	-0.049273	3.001145	0.000000	-0.002529	0.000000	0.001330	0.000156	0.000000	0.000000
25.409740	23.664650	12.054750	0.084249	-0.082682	3.000071	0.000000	-0.002529	0.000000	0.001392	0.000156	0.000000	0.000000
25.809740	23.604060	12.134259	0.067227	-0.116091	2.998997	0.000000	-0.002529	0.000000	0.001455	0.000156	0.000000	0.000000
26.209740	23.557089	12.240495	0.049542	-0.149129	2.997923	0.000000	-0.002445	0.000000	0.001517	0.000156	0.000000	0.000000
26.759138	23.111372	12.643569	0.757142	-0.588734	2.972801	0.000000	-0.088625	0.000000	0.001589	0.000107	0.000000	0.000000
27.308536	21.912350	13.549215	1.412722	-1.069127	2.900710	0.000000	-0.173275	0.000000	0.001634	0.000056	0.000000	0.000000
