# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	21.239049	12.414226	0.002160	0.052809	3.102930	0.000000	-0.010706	0.000000	-0.003456	0.000075	0.000000	0.000000
0.797000	21.244812	12.384960	-0.015240	0.019838	3.098634	0.000000	-0.010905	0.000000	-0.003426	0.000075	0.000000	0.000000
1.346398	20.911115	12.601572	0.619242	-0.416390	3.068053	0.000000	-0.100023	0.000000	-0.003355	0.000182	0.000000	0.000000
1.895796	19.899753	13.310493	1.211256	-0.881429	2.988861	0.000000	-0.187417	0.000000	-0.003227	0.000285	0.000000	0.000000
2.445194	18.280084	14.560774	1.720190	-1.407453	2.862422	0.000000	-0.271583	0.000000	-0.003042	0.000384	0.000000	0.000000
2.994593	16.163204	16.438927	2.111122	-2.030859	2.690916	0.000000	-0.351068	0.000000	-0.002806	0.000476	0.000000	0.000000
3.435711	14.534254	18.093911	1.597390	-1.708965	2.552029	0.000000	-0.278686	0.000000	-0.002611	0.000408	0.000000	0.000000
3.876830	13.324049	19.431920	1.156485	-1.313116	2.444256	0.000000	-0.209693	0.000000	-0.002445	0.000344	0.000000	0.000000
4.317948	12.478759	20.393633	0.767016	-0.859041	2.366401	0.000000	-0.143027	0.000000	-0.002307	0.000285	0.000000	0.000000
4.759067	11.960793	20.936400	0.411660	-0.366866	2.317601	0.000000	-0.077948	0.000000	-0.002194	0.000228	0.000000	0.000000
5.200185	11.747116	21.036139	0.075069	0.140717	2.297314	0.000000	-0.013823	0.000000	-0.002105	0.000174	0.000000	0.000000
5.628756	11.698495	20.924429	0.038380	0.119940	2.291315	0.000000	-0.013823	0.000000	-0.002030	0.000174	0.000000	0.000000
6.057328	11.681322	20.830527	0.001691	0.099164	2.285316	0.000000	-0.013823	0.000000	-0.001955	0.000174	0.000000	0.000000
6.485899	11.695596	20.754434	-0.034998	0.078387	2.279317	0.000000	-0.013823	0.000000	-0.001881	0.000174	0.000000	0.000000
