# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	21.788142	12.185802	0.010896	0.041295	3.126246	0.000000	-0.003975	0.000000	-0.003601	0.000066	0.000000	0.000000
0.797000	21.786756	12.165939	-0.005938	0.007734	3.124637	0.000000	-0.004184	0.000000	-0.003574	0.000066	0.000000	0.000000
1.346398	21.433322	12.392639	0.645659	-0.422755	3.097517	0.000000	-0.094170	0.000000	-0.003507	0.000178	0.000000	0.000000
1.895796	20.384313	13.105618	1.252978	-0.882494	3.021280	0.000000	-0.182533	0.000000	-0.003380	0.000286	0.000000	0.000000
2.445194	18.711668	14.354203	1.774358	-1.403288	2.897238	0.000000	-0.267752	0.000000	-0.003194	0.000389	0.000000	0.000000
2.994593	16.530108	16.224785	2.174027	-2.021171	2.727527	0.000000	-0.348356	0.000000	-0.002953	0.000486	0.000000	0.000000
3.435711	14.851166	17.873928	1.648390	-1.705536	2.590047	0.000000	-0.275021	0.000000	-0.002755	0.000414	0.000000	0.000000
3.876830	13.600315	19.211769	1.197979	-1.316173	2.484102	0.000000	-0.205054	0.000000	-0.002587	0.000347	0.000000	0.000000
4.317948	12.721924	20.178999	0.800848	-0.868449	2.408518	0.000000	-0.137362	0.000000	-0.002448	0.000284	0.000000	0.000000
4.759067	12.176928	20.732724	0.439334	-0.382212	2.362455	0.000000	-0.071194	0.000000	-0.002336	0.000224	0.000000	0.000000
5.200185	11.941093	20.848380	0.097853	0.120067	2.345403	0.000000	-0.005914	0.000000	-0.002250	0.000166	0.000000	0.000000
5.628756	11.872748	20.754402	0.061619	0.099214	2.342797	0.000000	-0.005914	0.000000	-0.002179	0.000166	0.000000	0.000000
6.057328	11.835461	20.678299	0.025385	0.078361	2.340191	0.000000	-0.005914	0.000000	-0.002107	0.000166	0.000000	0.000000
6.485899	11.829231	20.620070	-0.010849	0.057508	2.337584	0.000000	-0.005914	0.000000	-0.002036	0.000166	0.000000	0.000000
6.914471	11.854060	20.579714	-0.047083	0.036655	2.334978	0.000000	-0.005914	0.000000	-0.001965	0.000166	0.000000	0.000000
7.343042	11.909946	20.557233	-0.083317	0.015802	2.332372	0.000000	-0.005914	0.000000	-0.001894	0.000166	0.000000	0.000000
7.771614	11.996890	20.552625	-0.119552	-0.005051	2.329766	0.000000	-0.005914	0.000000	-0.001822	0.000166	0.000000	0.000000
8.200185	12.114890	20.565893	-0.155393	-0.026521	2.327160	0.000000	-0.005990	0.000000	-0.001751	0.000166	0.000000	0.000000
8.641304	12.404319	20.370602	-0.503123	0.467611	2.338751	0.000000	0.058873	0.000000	-0.001687	0.000123	0.000000	0.000000
9.082422	13.009228	19.746932	-0.873250	0.941020	2.379089	0.000000	0.124388	0.000000	-0.001642	0.000081	0.000000	0.000000
9.523541	13.956544	18.722527	-1.282247	1.372713	2.448621	0.000000	0.191284	0.000000	-0.001615	0.000040	0.000000	0.000000
9.964659	15.288431	17.342803	-1.748314	1.743548	2.548120	0.000000	0.260302	0.000000	-0.001606	0.000000	0.000000	0.000000
10.405778	17.064167	15.668928	-2.293276	2.038075	2.678688	0.000000	0.332378	0.000000	-0.001615	-0.000040	0.000000	0.000000
