# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	20.935838	12.465925	-0.005178	0.056715	3.081777	0.000000	-0.015638	0.000000	-0.002549	0.000060	0.000000	0.000000
0.797000	20.947554	12.433501	-0.023224	0.024069	3.075522	0.000000	-0.015783	0.000000	-0.002525	0.000060	0.000000	0.000000
1.346398	20.627721	12.646219	0.602109	-0.413489	3.042475	0.000000	-0.104162	0.000000	-0.002471	0.000139	0.000000	0.000000
1.895796	19.639673	13.352597	1.186134	-0.879661	2.961257	0.000000	-0.190746	0.000000	-0.002373	0.000215	0.000000	0.000000
2.445194	18.051198	14.601519	1.688771	-1.406707	2.833269	0.000000	-0.274042	0.000000	-0.002235	0.000287	0.000000	0.000000
2.994593	15.971290	16.479414	2.075522	-2.031101	2.660716	0.000000	-0.352615	0.000000	-0.002058	0.000355	0.000000	0.000000
3.435711	14.370411	18.134436	1.568552	-1.708294	2.520992	0.000000	-0.281067	0.000000	-0.001913	0.000305	0.000000	0.000000
3.876830	13.183323	19.471256	1.132659	-1.311070	2.412037	0.000000	-0.212854	0.000000	-0.001789	0.000259	0.000000	0.000000
4.317948	12.357211	20.430594	0.747159	-0.855703	2.332642	0.000000	-0.147002	0.000000	-0.001684	0.000215	0.000000	0.000000
4.759067	11.855323	20.969902	0.394901	-0.362382	2.281926	0.000000	-0.082783	0.000000	-0.001599	0.000174	0.000000	0.000000
5.200185	11.655332	21.065253	0.060540	0.146382	2.259327	0.000000	-0.019546	0.000000	-0.001531	0.000134	0.000000	0.000000
5.628756	11.619257	20.948690	0.023635	0.125601	2.250892	0.000000	-0.019546	0.000000	-0.001473	0.000134	0.000000	0.000000
6.057328	11.614815	20.849938	-0.013270	0.104820	2.242458	0.000000	-0.019546	0.000000	-0.001416	0.000134	0.000000	0.000000
6.485899	11.642006	20.768998	-0.050176	0.084039	2.234023	0.000000	-0.019546	0.000000	-0.001358	0.000134	0.000000	0.000000
6.914471	11.700830	20.705871	-0.087081	0.063258	2.225589	0.000000	-0.019546	0.000000	-0.001301	0.000134	0.000000	0.000000
7.343042	11.791287	20.660556	-0.123986	0.042477	2.217154	0.000000	-0.019546	0.000000	-0.001243	0.000134	0.000000	0.000000
7.771614	11.913378	20.633053	-0.160891	0.021696	2.208720	0.000000	-0.019546	0.000000	-0.001185	0.000134	0.000000	0.000000
8.200185	12.067100	20.623363	-0.197544	0.000524	2.200285	0.000000	-0.019592	0.000000	-0.001128	0.000134	0.000000	0.000000
