# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	21.186793	12.301162	-0.003354	0.049740	3.086487	0.000000	-0.013279	0.000000	-0.001828	0.000039	0.000000	0.000000
0.797000	21.196964	12.274459	-0.021447	0.016857	3.081180	0.000000	-0.013383	0.000000	-0.001813	0.000039	0.000000	0.000000
1.346398	20.870659	12.492798	0.612019	-0.416563	3.049409	0.000000	-0.101981	0.000000	-0.001776	0.000096	0.000000	0.000000
1.895796	19.867522	13.200399	1.203481	-0.878813	2.969349	0.000000	-0.188822	0.000000	-0.001708	0.000151	0.000000	0.000000
2.445194	18.256398	14.446234	1.712341	-1.401886	2.842378	0.000000	-0.272407	0.000000	-0.001611	0.000203	0.000000	0.000000
2.994593	16.147871	16.316533	2.103665	-2.021986	2.670686	0.000000	-0.351295	0.000000	-0.001486	0.000252	0.000000	0.000000
3.435711	14.524369	17.965869	1.591476	-1.704159	2.531617	0.000000	-0.279536	0.000000	-0.001383	0.000216	0.000000	0.000000
3.876830	13.319100	19.301151	1.151054	-1.311710	2.423435	0.000000	-0.211036	0.000000	-0.001295	0.000182	0.000000	0.000000
4.317948	12.478429	20.263162	0.761857	-0.861084	2.344938	0.000000	-0.144877	0.000000	-0.001222	0.000150	0.000000	0.000000
4.759067	11.964943	20.809231	0.406565	-0.372264	2.295256	0.000000	-0.080327	0.000000	-0.001162	0.000120	0.000000	0.000000
5.200185	11.755795	20.915133	0.069607	0.132612	2.273838	0.000000	-0.016715	0.000000	-0.001116	0.000092	0.000000	0.000000
5.628756	11.711832	20.810402	0.032974	0.111761	2.266635	0.000000	-0.016715	0.000000	-0.001076	0.000092	0.000000	0.000000
6.057328	11.699269	20.723543	-0.003659	0.090910	2.259432	0.000000	-0.016715	0.000000	-0.001037	0.000092	0.000000	0.000000
6.485899	11.718105	20.654557	-0.040292	0.070058	2.252229	0.000000	-0.016715	0.000000	-0.000998	0.000092	0.000000	0.000000
6.914471	11.768340	20.603443	-0.076925	0.049207	2.245026	0.000000	-0.016715	0.000000	-0.000958	0.000092	0.000000	0.000000
7.343042	11.849976	20.570202	-0.113557	0.028356	2.237823	0.000000	-0.016715	0.000000	-0.000919	0.000092	0.000000	0.000000
7.771614	11.963010	20.554834	-0.150190	0.007504	2.230621	0.000000	-0.016715	0.000000	-0.000880	0.000092	0.000000	0.000000
8.200185	12.107444	20.557338	-0.186634	-0.013641	2.223418	0.000000	-0.016750	0.000000	-0.000840	0.000092	0.000000	0.000000
8.641304	12.424775	20.350792	-0.535383	0.480144	2.229709	0.000000	0.045459	0.000000	-0.000805	0.000071	0.000000	0.000000
9.082422	13.059122	19.716418	-0.907970	0.952641	2.263536	0.000000	0.108172	0.000000	-0.000778	0.000051	0.000000	0.000000
9.523541	14.038729	18.682349	-1.320983	1.382891	2.325273	0.000000	0.172085	0.000000	-0.000759	0.000032	0.000000	0.000000
9.964659	15.407210	17.294440	-1.792808	1.751813	2.415607	0.000000	0.237909	0.000000	-0.000749	0.000013	0.000000	0.000000
10.405778	17.225489	15.614245	-2.344956	2.043502	2.535539	0.000000	0.306447	0.000000	-0.000748	-0.000006	0.000000	0.000000
10.955176	19.590006	13.713878	-1.934153	1.435378	2.683701	0.000000	0.232160	0.000000	-0.000745	0.000018	0.000000	0.000000
11.504574	21.427140	12.423624	-1.390526	0.926607	2.789879	0.000000	0.153870	0.000000	-0.000729	0.000041	0.000000	0.000000
12.053972	22.610729	11.654174	-0.751403	0.481974	2.852241	0.000000	0.072927	0.000000	-0.000700	0.000063	0.000000	0.000000
12.603370	23.059487	11.352271	-0.060672	0.070699	2.869713	0.000000	-0.009273	0.000000	-0.000659	0.000085	0.000000	0.000000
13.073037	23.125813	11.305534	-0.080831	0.028968	2.865302	0.000000	-0.009308	0.000000	-0.000619	0.000085	0.000000	0.000000
13.542703	23.211341	11.297851	-0.101273	-0.012610	2.860890	0.000000	-0.009308	0.000000	-0.000580	0.000085	0.000000	0.000000
14.012370	23.316070	11.329224	-0.121715	-0.054188	2.856479	0.000000	-0.009308	0.000000	-0.000540	0.000085	0.000000	0.000000
14.203370	23.375950	11.347423	-0.174865	-0.049311	2.855406	0.000000	-0.003828	0.000000	-0.000524	0.000084	0.000000	0.000000
14.752768	23.177800	11.625424	0.533523	-0.459607	2.830793	0.000000	-0.085471	0.000000	-0.000474	0.000099	0.000000	0.000000
15.302166	22.217019	12.369066	1.205283	-0.901726	2.761658	0.000000	-0.165639	0.000000	-0.000415	0.000113	0.000000	0.000000
15.851564	20.559577	13.629835	1.794280	-1.406275	2.649196	0.000000	-0.242951	0.000000	-0.000349	0.000125	0.000000	0.000000
