# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	21.679659	12.233120	0.009251	0.043663	3.121982	0.000000	-0.005234	0.000000	-0.003592	0.000068	0.000000	0.000000
0.797000	21.679620	12.211322	-0.007685	0.010222	3.119869	0.000000	-0.005443	0.000000	-0.003565	0.000068	0.000000	0.000000
1.346398	21.329989	12.435951	0.640524	-0.421451	3.092101	0.000000	-0.095269	0.000000	-0.003497	0.000179	0.000000	0.000000
1.895796	20.288332	13.148102	1.244808	-0.882284	3.015308	0.000000	-0.183453	0.000000	-0.003369	0.000287	0.000000	0.000000
2.445194	18.626082	14.397047	1.763713	-1.404157	2.890813	0.000000	-0.268477	0.000000	-0.003182	0.000390	0.000000	0.000000
2.994593	16.457250	16.269202	2.161637	-2.023181	2.720760	0.000000	-0.348874	0.000000	-0.002941	0.000487	0.000000	0.000000
3.435711	14.788157	17.919546	1.638349	-1.706235	2.583012	0.000000	-0.275714	0.000000	-0.002742	0.000415	0.000000	0.000000
3.876830	13.545302	19.257411	1.189827	-1.315527	2.476722	0.000000	-0.205928	0.000000	-0.002574	0.000348	0.000000	0.000000
4.317948	12.673406	20.223486	0.794220	-0.866487	2.400710	0.000000	-0.138426	0.000000	-0.002434	0.000285	0.000000	0.000000
4.759067	12.133695	20.774929	0.433937	-0.379020	2.354132	0.000000	-0.072460	0.000000	-0.002322	0.000226	0.000000	0.000000
5.200185	11.902170	20.887277	0.093441	0.124350	2.336474	0.000000	-0.007396	0.000000	-0.002235	0.000169	0.000000	0.000000
5.628756	11.837644	20.789620	0.057119	0.103515	2.333232	0.000000	-0.007396	0.000000	-0.002163	0.000169	0.000000	0.000000
6.057328	11.804252	20.709823	0.020796	0.082679	2.329990	0.000000	-0.007396	0.000000	-0.002090	0.000169	0.000000	0.000000
6.485899	11.801993	20.647885	-0.015526	0.061844	2.326748	0.000000	-0.007396	0.000000	-0.002018	0.000169	0.000000	0.000000
6.914471	11.830868	20.603805	-0.051848	0.041008	2.323507	0.000000	-0.007396	0.000000	-0.001946	0.000169	0.000000	0.000000
7.343042	11.890876	20.577585	-0.088170	0.020173	2.320265	0.000000	-0.007396	0.000000	-0.001874	0.000169	0.000000	0.000000
7.771614	11.982017	20.569224	-0.124493	-0.000663	2.317023	0.000000	-0.007396	0.000000	-0.001801	0.000169	0.000000	0.000000
8.200185	12.104290	20.578723	-0.160427	-0.022107	2.313781	0.000000	-0.007470	0.000000	-0.001729	0.000169	0.000000	0.000000
8.641304	12.398117	20.379415	-0.508094	0.472270	2.324643	0.000000	0.057048	0.000000	-0.001664	0.000126	0.000000	0.000000
9.082422	13.007466	19.751602	-0.878381	0.945717	2.364095	0.000000	0.122199	0.000000	-0.001618	0.000085	0.000000	0.000000
9.523541	13.959464	18.723113	-1.287765	1.377241	2.432575	0.000000	0.188705	0.000000	-0.001589	0.000045	0.000000	0.000000
9.964659	15.296481	17.339543	-1.754466	1.747705	2.530843	0.000000	0.257305	0.000000	-0.001578	0.000005	0.000000	0.000000
10.405778	17.078026	15.662232	-2.300318	2.041657	2.659990	0.000000	0.328927	0.000000	-0.001585	-0.000035	0.000000	0.000000
10.955176	19.393974	13.764253	-1.890961	1.432889	2.819406	0.000000	0.250568	0.000000	-0.001590	0.000015	0.000000	0.000000
11.504574	21.185811	12.477191	-1.351781	0.923278	2.934497	0.000000	0.167890	0.000000	-0.001569	0.000065	0.000000	0.000000
12.053972	22.330518	11.711982	-0.719788	0.477554	3.003279	0.000000	0.082318	0.000000	-0.001520	0.000113	0.000000	0.000000
12.603370	22.749496	11.415679	-0.038363	0.064872	3.024566	0.000000	-0.004673	0.000000	-0.001444	0.000160	0.000000	0.000000
13.073037	22.794665	11.374461	-0.058425	0.023225	3.022258	0.000000	-0.004754	0.000000	-0.001369	0.000160	0.000000	0.000000
13.542703	22.859256	11.372049	-0.079100	-0.018089	3.019950	0.000000	-0.004754	0.000000	-0.001294	0.000160	0.000000	0.000000
14.012370	22.943268	11.408444	-0.099774	-0.059403	3.017642	0.000000	-0.004754	0.000000	-0.001219	0.000160	0.000000	0.000000
14.203370	22.994594	11.428573	-0.152003	-0.054391	3.017466	0.000000	0.000998	0.000000	-0.001189	0.000158	0.000000	0.000000
14.752768	22.778392	11.713408	0.543390	-0.467041	2.994060	0.000000	-0.085746	0.000000	-0.001092	0.000194	0.000000	0.000000
15.302166	21.814297	12.466732	1.201496	-0.912028	2.923318	0.000000	-0.171012	0.000000	-0.000977	0.000226	0.000000	0.000000
15.851564	20.168479	13.740701	1.777128	-1.420154	2.806460	0.000000	-0.253328	0.000000	-0.000845	0.000255	0.000000	0.000000
16.400963	17.953919	15.623515	2.230755	-2.026597	2.645500	0.000000	-0.331276	0.000000	-0.000698	0.000279	0.000000	0.000000
16.842081	16.236622	17.287938	1.677344	-1.733054	2.515088	0.000000	-0.260107	0.000000	-0.000578	0.000263	0.000000	0.000000
17.283200	14.972507	18.658766	1.199089	-1.363059	2.415379	0.000000	-0.191897	0.000000	-0.000465	0.000250	0.000000	0.000000
17.724318	14.105305	19.675184	0.774207	-0.932589	2.345265	0.000000	-0.125818	0.000000	-0.000357	0.000240	0.000000	0.000000
18.165437	13.596419	20.292093	0.383783	-0.460736	2.303968	0.000000	-0.061136	0.000000	-0.000254	0.000232	0.000000	0.000000
18.606555	13.423201	20.482112	0.010473	0.031446	2.291031	0.000000	0.002860	0.000000	-0.000152	0.000227	0.000000	0.000000
19.008055	13.426801	20.464738	-0.019441	0.011824	2.292088	0.000000	0.002860	0.000000	-0.000061	0.000227	0.000000	0.000000
19.409555	13.454423	20.463122	-0.049355	-0.007798	2.293145	0.000000	0.002860	0.000000	0.000030	0.000227	0.000000	0.000000
19.709055	13.490669	20.472176	-0.071669	-0.022435	2.293933	0.000000	0.002860	0.000000	0.000098	0.000227	0.000000	0.000000
20.206555	13.567721	20.525799	-0.062737	-0.116220	2.294169	0.000000	-0.004918	0.000000	0.000210	0.000226	0.000000	0.000000
20.647674	13.789034	20.409489	-0.440739	0.378915	2.306023	0.000000	0.059159	0.000000	0.000311	0.000233	0.000000	0.000000
21.088792	14.351244	19.862158	-0.838384	0.857256	2.346258	0.000000	0.123892	0.000000	0.000416	0.000242	0.000000	0.000000
21.529911	15.279402	18.908075	-1.273384	1.297581	2.415321	0.000000	0.190000	0.000000	0.000525	0.000254	0.000000	0.000000
21.971029	16.614863	17.589553	-1.765117	1.680349	2.513978	0.000000	0.258218	0.000000	0.000640	0.000268	0.000000	0.000000
22.412148	18.417130	15.965078	-2.334939	1.988097	2.643325	0.000000	0.329223	0.000000	0.000762	0.000286	0.000000	0.000000
