#ParticleID	Turn	x[m]	xp	y[m]	yp	z[m]	dE[GeV]
0	0	-0.000003	0.000000	0.000000	0.000000	0.499970	-0.000001
0	1	-0.000004	0.000000	0.000000	0.000000	0.499899	-0.000002
0	2	-0.000005	0.000000	0.000000	0.000000	0.499786	-0.000003
0	3	-0.000005	0.000000	0.000000	0.000000	0.499633	-0.000004
0	4	-0.000008	0.000000	0.000000	0.000000	0.499438	-0.000005
0	5	-0.000011	0.000000	0.000000	0.000000	0.499202	-0.000006
0	6	-0.000013	0.000000	0.000000	0.000000	0.498926	-0.000007
0	7	-0.000013	0.000000	0.000000	0.000000	0.498609	-0.000008
0	8	-0.000013	0.000000	0.000000	0.000000	0.498250	-0.000009
0	9	-0.000015	0.000000	0.000000	0.000000	0.497851	-0.000010
0	10	-0.000018	0.000000	0.000000	0.000000	0.497410	-0.000011
0	11	-0.000021	0.000000	0.000000	0.000000	0.496930	-0.000011
0	12	-0.000022	0.000000	0.000000	0.000000	0.496408	-0.000012
0	13	-0.000022	0.000000	0.000000	0.000000	0.495845	-0.000013
0	14	-0.000023	0.000000	0.000000	0.000000	0.495242	-0.000014
0	15	-0.000026	0.000000	0.000000	0.000000	0.494597	-0.000015
0	16	-0.000029	0.000000	0.000000	0.000000	0.493913	-0.000016
0	17	-0.000030	0.000000	0.000000	0.000000	0.493188	-0.000017
0	18	-0.000030	0.000000	0.000000	0.000000	0.492422	-0.000018
0	19	-0.000031	0.000000	0.000000	0.000000	0.491616	-0.000019
0	20	-0.000034	0.000000	0.000000	0.000000	0.490769	-0.000020
0	21	-0.000037	0.000000	0.000000	0.000000	0.489882	-0.000021
0	22	-0.000038	0.000000	0.000000	0.000000	0.488956	-0.000022
0	23	-0.000038	0.000000	0.000000	0.000000	0.487988	-0.000023
0	24	-0.000039	0.000000	0.000000	0.000000	0.486981	-0.000024
0	25	-0.000041	0.000000	0.000000	0.000000	0.485933	-0.000025
0	26	-0.000044	0.000000	0.000000	0.000000	0.484846	-0.000026
0	27	-0.000046	0.000000	0.000000	0.000000	0.483719	-0.000027
0	28	-0.000047	0.000000	0.000000	0.000000	0.482553	-0.000027
0	29	-0.000047	0.000000	0.000000	0.000000	0.481346	-0.000028
0	30	-0.000049	0.000000	0.000000	0.000000	0.480100	-0.000029
0	31	-0.000052	0.000000	0.000000	0.000000	0.478815	-0.000030
0	32	-0.000054	0.000000	0.000000	0.000000	0.477490	-0.000031
0	33	-0.000055	0.000000	0.000000	0.000000	0.476127	-0.000032
0	34	-0.000055	0.000000	0.000000	0.000000	0.474724	-0.000033
0	35	-0.000056	0.000000	0.000000	0.000000	0.473281	-0.000034
0	36	-0.000059	0.000000	0.000000	0.000000	0.471800	-0.000035
0	37	-0.000062	0.000000	0.000000	0.000000	0.470281	-0.000036
0	38	-0.000063	0.000000	0.000000	0.000000	0.468723	-0.000037
0	39	-0.000063	0.000000	0.000000	0.000000	0.467126	-0.000037
0	40	-0.000064	0.000000	0.000000	0.000000	0.465491	-0.000038
0	41	-0.000066	0.000000	0.000000	0.000000	0.463818	-0.000039
0	42	-0.000069	0.000000	0.000000	0.000000	0.462106	-0.000040
0	43	-0.000071	0.000000	0.000000	0.000000	0.460357	-0.000041
0	44	-0.000071	0.000000	0.000000	0.000000	0.458570	-0.000042
0	45	-0.000071	0.000000	0.000000	0.000000	0.456745	-0.000043
0	46	-0.000073	0.000000	0.000000	0.000000	0.454883	-0.000044
0	47	-0.000076	0.000000	0.000000	0.000000	0.452983	-0.000045
0	48	-0.000078	0.000000	0.000000	0.000000	0.451046	-0.000045
0	49	-0.000079	0.000000	0.000000	0.000000	0.449072	-0.000046
0	50	-0.000079	0.000000	0.000000	0.000000	0.447061	-0.000047
0	51	-0.000080	0.000000	0.000000	0.000000	0.445014	-0.000048
